Longitude,Latitude,Altitude,GPS Time
-2.149167,54.269167,321.000000,18/08/2015 14:05:25
-2.195278,54.303611,281.000000,19/08/2015 10:48:29
-2.149167,54.269167,321.000000,18/08/2015 14:05:25
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
-2.195278,54.303611,281.000000,19/08/2015 10:48:29
-2.195278,54.303611,281.000000
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
4.483056,51.911944,0.000000
6.095278,52.510000,82.000000,01/08/2016 08:46:01
4.396389,51.920556,69.000000,08/08/2016 14:31:11
6.797778,52.930278,86.000000,04/08/2016 08:40:46
4.310833,52.079444,35.000000,10/08/2016 13:39:24
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.055556,54.416944,165.000000
-3.191111,54.049722,53.000000
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
6.797778,52.930278,86.000000,04/08/2016 08:40:46
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
6.095278,52.510000,82.000000,01/08/2016 08:46:01
-5.473889,50.123333,60.000000
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.191111,54.049722,53.000000
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-3.055556,54.416944,165.000000
4.310833,52.079444,35.000000,10/08/2016 13:39:24
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
-5.473889,50.123333,60.000000
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-3.191111,54.049722,53.000000
-5.473889,50.123333,60.000000
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-5.473889,50.123333,60.000000
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
4.396389,51.920556,69.000000,08/08/2016 14:31:11
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
6.797778,52.930278,86.000000,04/08/2016 08:40:46
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-2.195278,54.303611,281.000000
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
6.095278,52.510000,82.000000,01/08/2016 08:46:01
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
6.797778,52.930278,86.000000,04/08/2016 08:40:46
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
4.396389,51.920556,69.000000,08/08/2016 14:31:11
-5.473889,50.123333,60.000000
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
4.310833,52.079444,35.000000,10/08/2016 13:39:24
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
-2.195278,54.303611,281.000000
4.310833,52.079444,35.000000,10/08/2016 13:39:24
4.310833,52.079444,35.000000,10/08/2016 13:39:24
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-5.473889,50.123333,60.000000
-2.195278,54.303611,281.000000
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-2.195278,54.303611,281.000000
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
6.095278,52.510000,82.000000,01/08/2016 08:46:01
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
4.310833,52.079444,35.000000,10/08/2016 13:39:24
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
-3.055556,54.416944,165.000000
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
4.483056,51.911944,0.000000
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
4.396389,51.920556,69.000000,08/08/2016 14:31:11
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
4.483056,51.911944,0.000000
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
4.483056,51.911944,0.000000
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
-2.195278,54.303611,281.000000
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-2.195278,54.303611,281.000000
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
6.095278,52.510000,82.000000,01/08/2016 08:46:01
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-3.191111,54.049722,53.000000
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
4.396389,51.920556,69.000000,08/08/2016 14:31:11
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
6.797778,52.930278,86.000000,04/08/2016 08:40:46
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
4.396389,51.920556,69.000000,08/08/2016 14:31:11
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-3.055556,54.416944,165.000000
4.310833,52.079444,35.000000,10/08/2016 13:39:24
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
6.797778,52.930278,86.000000,04/08/2016 08:40:46
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
6.797778,52.930278,86.000000,04/08/2016 08:40:46
6.095278,52.510000,82.000000,01/08/2016 08:46:01
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
-5.473889,50.123333,60.000000
4.396389,51.920556,69.000000,08/08/2016 14:31:11
6.095278,52.510000,82.000000,01/08/2016 08:46:01
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
-2.149167,54.269167,321.000000,18/08/2015 14:05:25
-2.195278,54.303611,281.000000,19/08/2015 10:48:29
-2.149167,54.269167,321.000000,18/08/2015 14:05:25
-2.195278,54.303611,281.000000,19/08/2015 10:48:29
-1.611944,55.344722,84.000000,02/09/2015 13:42:01
-2.195278,54.303611,281.000000
-1.993889,53.884722,253.000000,27/03/2016 10:01:02
-1.999722,53.897222,286.000000,09/01/2016 11:50:26
-1.983889,53.907778,138.000000,28/05/2016 14:15:19
-1.555556,53.821667,-0.000000,11/04/2016 12:58:26
-0.115833,54.131667,65.000000,03/06/2016 14:14:22
4.483056,51.911944,0.000000
4.523611,52.186944,-0.000000,30/07/2016 06:52:01
-3.256111,54.301389,188.000000,18/06/2016 12:27:37
4.396389,51.920556,69.000000,08/08/2016 14:31:11
6.095278,52.510000,82.000000,01/08/2016 08:46:01
4.310833,52.079444,35.000000,10/08/2016 13:39:24
6.797778,52.930278,86.000000,04/08/2016 08:40:46
-3.947778,54.806667,93.000000,30/08/2016 14:00:39
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.524444,54.975833,68.000000,31/08/2016 14:42:12
-3.968889,54.939167,96.000000,01/09/2016 13:06:42
-1.886111,53.986111,180.000000,08/01/2017 12:47:05
-1.647778,53.820556,65.000000,22/10/2016 08:39:02
-0.390278,54.287500,113.000000,11/03/2017 12:29:01
-1.600278,54.265278,139.000000,26/03/2017 11:22:37
-1.597500,54.265833,132.000000,26/03/2017 11:39:40
-3.054722,54.234444,-0.000000,17/04/2017 17:49:51
-3.051667,54.234444,58.000000,17/04/2017 18:01:17
-1.574722,54.256667,-0.000000,26/03/2017 13:04:53
-2.771944,54.283333,129.000000,17/04/2017 11:22:51
-3.069444,54.400000,110.000000,18/04/2017 09:40:59
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.055556,54.416944,165.000000
-3.191111,54.049722,53.000000
-3.053889,54.401389,253.000000,18/04/2017 10:57:31
-3.062222,54.415833,200.000000,18/04/2017 13:58:35
-2.907222,54.380556,-0.000000,20/04/2017 13:11:01
-3.174444,54.047500,-0.000000,19/04/2017 11:24:17
-5.478333,50.125278,57.000000,31/07/2017 12:10:50
-2.965278,54.400278,135.000000,20/04/2017 12:36:49
